TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,DiscountPercent_num,PaymentType_cat
1,5/4/2025,1034,2059,402,0,2048.2,0,Online
2,5/4/2025,1066,2048,403,1,321.87,5,Debit
3,5/4/2025,1116,2041,403,3,3216.84,15,Online
4,5/4/2025,1071,2096,404,2,1613.23,10,Credit
5,5/4/2025,1020,2060,401,0,408.38,0,Debit
6,5/4/2025,1089,2028,401,0,1275.88,0,Credit
7,5/4/2025,1193,2003,402,1,346.66,5,Debit
8,5/4/2025,1005,2079,402,1,855.49,5,Debit
9,5/4/2025,1032,2060,401,1,735.08,5,Debit
10,5/4/2025,1119,2089,403,2,661.63,10,Debit
11,5/4/2025,1042,2077,401,,505.65,0,Debit
12,5/4/2025,1079,2013,401,2,0,10,Cash
13,5/4/2025,1147,2086,404,3,4470.5,15,Online
14,5/4/2025,1183,2025,401,1,503.32,5,Debit
15,5/4/2025,1026,2089,403,0,413.52,0,Debit
16,5/4/2025,1144,2005,403,3,1715.12,15,Credit
17,5/4/2025,1169,2047,401,2,535.97,10,Debit
18,5/4/2025,1003,2053,404,0,3660.9,0,Online
19,5/4/2025,1110,2046,404,1,30.09,5,Cash
20,5/4/2025,1111,2022,403,3,671.18,15,Debit
21,5/4/2025,1119,2055,403,2,?,10,Online
22,5/4/2025,1062,2011,403,3,1229.22,15,Credit
23,5/4/2025,1062,2096,404,3,672.18,15,Debit
24,5/4/2025,1086,2003,404,2,924.43,10,Debit
25,5/4/2025,1046,2062,402,2,1981.95,10,Credit
26,5/4/2025,1066,2043,403,2,698.76,10,Debit
27,5/4/2025,1142,2001,402,0,1237.05,0,Credit
28,5/4/2025,1061,2092,404,3,482.21,15,Debit
29,5/4/2025,1142,2097,402,3,4210.5,15,Online
30,5/4/2025,1165,2091,404,3,4528.95,15,Online
31,2023-13-01,1004,2011,403,1,737.53,5,Debit
32,5/4/2025,1103,2088,402,2,0,10,Cash
33,5/4/2025,1169,2074,403,3,0,15,Cash
34,5/4/2025,1141,2067,403,3,872.85,15,Debit
35,5/4/2025,1190,2070,403,2,54.69,10,Cash
36,5/4/2025,1179,2058,403,2,1066.8,10,Credit
37,5/4/2025,1064,2029,401,1,12.16,5,Cash
38,5/4/2025,1080,2015,402,1,3037.36,5,Online
39,5/4/2025,1055,2094,404,2,1578.72,10,Credit
40,5/4/2025,1185,2075,403,0,0,0,Cash
41,5/4/2025,9999,2037,402,2,288.11,10,Cash
42,5/4/2025,1045,2038,401,1,1667.72,5,Credit
43,5/4/2025,1070,2005,401,2,686.05,10,Debit
44,5/4/2025,1178,2016,404,0,0,0,Cash
45,5/4/2025,1003,2073,403,3,1498.29,15,Credit
46,5/4/2025,1122,2056,403,1,944.5,5,Debit
47,5/4/2025,1013,2032,404,0,2836.8,0,Online
48,5/4/2025,1016,2051,404,0,117.32,0,Cash
49,5/4/2025,1147,2080,401,1,0,5,Cash
50,5/4/2025,1038,2072,403,0,840.6,0,Debit
51,5/4/2025,1063,2015,404,1,1214.95,5,Credit
52,5/4/2025,1198,2066,404,3,516.06,15,Debit
53,5/4/2025,1113,2038,404,2,2223.62,10,Online
54,5/4/2025,1145,2079,401,0,1901.08,0,Credit
55,5/4/2025,1195,2026,402,2,507.74,10,Debit
56,5/4/2025,1169,2010,402,1,140.11,5,Cash
57,5/4/2025,1044,2070,401,1,0,5,Cash
58,5/4/2025,1000,2052,404,3,2193.78,15,Online
59,5/4/2025,1074,2004,402,2,741.8,10,Debit
60,5/4/2025,1180,2036,404,0,217.98,0,Cash
61,5/4/2025,1175,2029,403,1,36.48,5,Cash
62,5/4/2025,1108,2014,402,1,221.67,5,Cash
63,5/4/2025,1068,2018,401,0,2169.04,0,Online
64,5/4/2025,1042,2039,403,3,2929.32,15,Online
65,5/4/2025,1031,2059,403,3,0,15,Cash
66,5/4/2025,1069,2064,404,3,1470.2,15,Credit
67,5/4/2025,1020,2076,401,3,4836.42,15,Online
68,5/4/2025,1188,2041,403,0,1608.42,0,Credit
69,5/4/2025,1023,2029,401,2,0,10,Cash
70,5/4/2025,1147,2005,402,3,0,15,Cash
71,5/4/2025,1132,2083,404,2,614.53,10,Debit
72,5/4/2025,1046,2074,404,3,659.5,15,Debit
73,5/4/2025,1023,2060,403,3,1225.14,15,Credit
74,5/4/2025,1085,2041,401,1,1447.58,5,Credit
75,5/4/2025,1084,2052,404,2,2925.04,10,Online
76,5/4/2025,1169,2051,401,3,117.32,15,Cash
77,5/4/2025,1022,2040,403,2,55.26,10,Cash
78,5/4/2025,1029,2098,404,0,3631.44,0,Online
79,5/4/2025,1168,2069,404,3,232.39,15,Cash
80,5/4/2025,1013,2024,403,3,372.81,15,Debit
81,5/4/2025,1160,2056,401,1,472.25,5,Debit
82,5/4/2025,1068,2070,402,2,109.38,10,Cash
83,5/4/2025,1112,2089,404,0,2067.6,0,Online
84,5/4/2025,1007,2080,402,1,1498.07,5,Credit
85,5/4/2025,1079,2070,401,3,34.18,15,Cash
86,5/4/2025,1023,2028,401,3,2551.76,15,Online
87,5/4/2025,1030,2082,402,3,799.8,15,Debit
88,5/4/2025,1183,2037,403,3,2160.84,15,Online
89,5/4/2025,1123,2060,402,3,2450.28,15,Online
90,5/4/2025,1141,2018,404,1,2440.17,5,Online
91,5/4/2025,1153,2065,402,0,470.34,0,Debit
92,5/4/2025,1070,2098,404,2,0,10,Cash
93,5/4/2025,1129,2034,401,2,108.94,10,Cash
94,5/4/2025,1185,2038,404,1,1667.72,5,Credit
95,5/4/2025,1114,2068,404,2,656.19,10,Debit
96,5/4/2025,1085,2070,404,3,0,15,Cash
97,5/4/2025,1082,2024,402,3,372.81,15,Debit
98,5/4/2025,1059,2099,404,0,1292.64,0,Credit
99,5/4/2025,1081,2095,404,3,490.79,15,Debit
100,5/4/2025,1098,2084,402,3,0,15,Cash
101,5/4/2025,1009,2016,403,0,969.06,0,Debit
102,5/4/2025,1112,2012,404,0,1869.57,0,Credit
103,5/4/2025,1184,2018,404,1,488.03,5,Debit
104,5/4/2025,1019,2060,403,2,0,10,Cash
105,5/4/2025,1159,2088,404,0,0,0,Cash
106,5/4/2025,1084,2086,404,2,2861.12,10,Online
107,5/4/2025,1160,2091,404,0,905.79,0,Debit
108,5/4/2025,1158,2008,402,2,159.82,10,Cash
109,5/4/2025,1058,2095,401,3,2453.95,15,Online
110,5/4/2025,1025,2097,401,3,842.1,15,Debit
111,5/4/2025,1042,2088,403,0,709.35,0,Debit
112,5/4/2025,1011,2041,401,2,0,10,Cash
113,5/4/2025,1091,2047,404,1,0,5,Cash
114,5/4/2025,1062,2067,404,1,0,5,Cash
115,5/4/2025,1043,2022,401,3,2684.72,15,Online
116,5/4/2025,1158,2087,402,3,477.96,15,Debit
117,5/4/2025,1149,2018,402,3,1626.78,15,Credit
118,5/4/2025,1163,2032,404,2,756.48,10,Debit
119,5/4/2025,1170,2001,404,2,659.76,10,Debit
120,5/4/2025,1173,2069,402,0,464.78,0,Debit
121,5/4/2025,1113,2044,403,3,0,15,Cash
122,5/4/2025,1176,2032,404,2,756.48,10,Debit
123,5/4/2025,1050,2049,404,0,2819.52,0,Online
124,5/4/2025,1060,2048,403,2,1144.42,10,Credit
125,5/4/2025,1179,2037,401,3,1440.56,15,Credit
126,5/4/2025,1070,2001,401,3,0,15,Cash
127,5/4/2025,1073,2099,402,2,0,10,Cash
128,5/4/2025,1056,2081,402,2,0,10,Cash
129,5/4/2025,1173,2096,402,0,672.18,0,Debit
130,5/4/2025,1160,2082,401,2,426.56,10,Debit
131,5/4/2025,1112,2004,403,1,1669.05,5,Credit
132,5/4/2025,1023,2037,403,3,2160.84,15,Online
133,5/4/2025,1044,2025,402,2,223.7,10,Cash
134,5/4/2025,1135,2064,403,1,793.91,5,Debit
135,5/4/2025,1065,2061,403,2,639.74,10,Debit
136,5/4/2025,1029,2059,401,1,921.69,5,Debit
137,5/4/2025,1193,2028,404,2,1531.06,10,Credit
138,5/4/2025,1023,2050,401,2,298.85,10,Cash
139,5/4/2025,1137,2015,404,2,539.98,10,Debit
140,5/4/2025,1172,2095,403,3,2453.95,15,Online
141,5/4/2025,1163,2047,401,1,301.48,5,Debit
142,5/4/2025,1120,2003,403,1,1039.99,5,Credit
143,5/4/2025,1165,2008,404,2,53.27,10,Cash
144,5/4/2025,1166,2052,401,1,658.13,5,Debit
145,5/4/2025,1011,2004,403,3,3709,15,Online
146,5/4/2025,1029,2012,402,1,0,5,Cash
147,5/4/2025,1099,2058,403,3,666.75,15,Debit
148,5/4/2025,1150,2095,402,3,490.79,15,Debit
149,5/4/2025,1167,2012,404,3,0,15,Cash
150,5/4/2025,1071,2004,403,1,834.52,5,Debit
151,5/4/2025,1113,2056,402,2,839.55,10,Debit
152,5/4/2025,1025,2087,403,2,0,10,Cash
153,5/4/2025,1015,2050,403,1,504.31,5,Debit
154,5/4/2025,1031,2058,401,1,2400.3,5,Online
155,5/4/2025,1164,2081,401,0,2984.88,0,Online
156,5/4/2025,1085,2031,402,1,508.77,5,Debit
157,5/4/2025,1017,2097,402,1,757.89,5,Debit
158,5/4/2025,1059,2042,402,0,0,0,Cash
159,5/4/2025,1070,2018,402,2,0,10,Cash
160,5/4/2025,1044,2014,401,1,886.68,5,Debit
161,5/4/2025,1003,2045,402,2,499.42,10,Debit
162,5/4/2025,1004,2022,403,0,671.18,0,Debit
163,5/4/2025,1032,2094,404,0,493.35,0,Debit
164,5/4/2025,1190,2008,404,3,266.36,15,Cash
165,5/4/2025,1199,2046,401,3,167.15,15,Cash
166,5/4/2025,1128,2028,401,2,2041.41,10,Online
167,5/4/2025,1117,2082,401,0,799.8,0,Debit
168,5/4/2025,1122,2051,404,0,234.64,0,Cash
169,5/4/2025,1125,2091,404,0,1811.58,0,Credit
170,5/4/2025,1020,2041,402,0,0,0,Cash
171,5/4/2025,1032,2035,403,3,4499.95,15,Online
172,5/4/2025,1152,2067,403,3,872.85,15,Debit
173,5/4/2025,1129,2077,404,0,2809.15,0,Online
174,5/4/2025,1179,2014,402,3,738.9,15,Debit
175,5/4/2025,1115,2029,404,2,0,10,Cash
176,5/4/2025,1116,2051,404,0,351.96,0,Debit
177,5/4/2025,1080,2054,403,2,3602.04,10,Online
178,5/4/2025,1095,2019,404,0,933.93,0,Debit
179,5/4/2025,1023,2010,401,3,0,15,Cash
180,5/4/2025,1024,2095,403,1,3533.69,5,Online
181,5/4/2025,1142,2007,403,0,583.39,0,Debit
182,5/4/2025,1105,2045,404,0,624.28,0,Debit
183,5/4/2025,1073,2076,403,2,1934.57,10,Credit
184,5/4/2025,1026,2073,402,1,1797.95,5,Credit
185,5/4/2025,1168,2061,402,0,599.76,0,Debit
186,5/4/2025,1089,2071,403,0,0,0,Cash
187,5/4/2025,1195,2035,402,3,0,15,Cash
188,5/4/2025,1143,2098,401,2,2178.86,10,Online
189,5/4/2025,1007,2023,403,2,751.63,10,Debit
190,5/4/2025,1086,2044,401,1,373.64,5,Debit
191,5/4/2025,1036,2072,404,0,1260.9,0,Credit
192,5/4/2025,1036,2094,401,0,2466.75,0,Online
193,5/4/2025,1191,2067,402,3,872.85,15,Debit
194,5/4/2025,1107,2058,403,1,1800.22,5,Credit
195,5/4/2025,1094,2039,403,0,1952.88,0,Credit
196,5/4/2025,1013,2019,402,0,0,0,Cash
197,5/4/2025,1172,2010,403,3,0,15,Cash
198,5/4/2025,1169,2054,404,3,900.51,15,Debit
199,5/4/2025,1106,2034,402,0,136.17,0,Cash
200,5/4/2025,1088,2055,401,2,129.46,10,Cash
201,5/4/2025,1173,2086,404,2,715.28,10,Debit
202,5/4/2025,1011,2028,404,0,0,0,Cash
203,5/4/2025,1001,2026,403,1,190.4,5,Cash
204,5/4/2025,1196,2017,403,2,370.96,10,Debit
205,5/4/2025,1083,2015,401,3,0,15,Cash
206,5/4/2025,1191,2055,402,1,48.55,5,Cash
207,5/4/2025,1097,2068,402,2,1312.38,10,Credit
208,5/4/2025,1018,2050,401,3,0,15,Cash
209,5/4/2025,1004,2058,401,2,1066.8,10,Credit
210,5/4/2025,1147,2054,404,3,2701.53,15,Online
211,5/4/2025,1074,2014,404,0,738.9,0,Debit
212,5/4/2025,1083,2021,404,2,668.33,10,Debit
213,5/4/2025,1022,2055,401,1,97.09,5,Cash
214,5/4/2025,1111,2075,404,0,1561.28,0,Credit
215,5/4/2025,1101,2039,403,1,2636.39,5,Online
216,5/4/2025,1085,2099,402,0,646.32,0,Debit
217,5/4/2025,1130,2081,401,1,1343.2,5,Credit
218,5/4/2025,1198,2044,403,1,186.82,5,Cash
219,5/4/2025,1060,2013,402,2,0,10,Cash
220,5/4/2025,1050,2022,402,0,671.18,0,Debit
221,5/4/2025,1045,2098,404,3,907.86,15,Debit
222,5/4/2025,1193,2072,404,2,1681.2,10,Credit
223,5/4/2025,1160,2040,402,3,138.16,15,Cash
224,5/4/2025,1017,2060,404,2,0,10,Cash
225,5/4/2025,1070,2075,401,2,624.51,10,Debit
226,5/4/2025,1129,2009,403,3,198.93,15,Cash
227,5/4/2025,1115,2004,401,2,2225.4,10,Online
228,5/4/2025,1073,2009,401,3,66.31,15,Cash
229,5/4/2025,1118,2074,401,3,659.5,15,Debit
230,5/4/2025,1146,2083,402,2,614.53,10,Debit
231,5/4/2025,1154,2060,402,0,408.38,0,Debit
232,5/4/2025,1115,2013,403,0,2806.08,0,Online
233,5/4/2025,1129,2082,402,0,1066.4,0,Credit
234,5/4/2025,1063,2090,404,3,71.64,15,Cash
235,5/4/2025,1134,2066,402,2,1238.54,10,Credit
236,5/4/2025,1095,2036,404,3,653.94,15,Debit
237,5/4/2025,1198,2043,401,2,1397.52,10,Credit
238,5/4/2025,1016,2042,401,3,0,15,Cash
239,5/4/2025,1072,2032,402,2,1512.96,10,Credit
240,5/4/2025,1020,2074,402,2,527.6,10,Debit
241,5/4/2025,1079,2083,404,1,691.34,5,Debit
242,5/4/2025,1152,2090,401,2,57.31,10,Cash
243,5/4/2025,1143,2048,403,1,0,5,Cash
244,5/4/2025,1171,2089,401,3,1654.08,15,Credit
245,5/4/2025,1130,2046,401,2,106.98,10,Cash
246,5/4/2025,1079,2023,402,2,3006.53,10,Online
247,5/4/2025,1196,2062,402,1,1114.85,5,Credit
248,5/4/2025,1035,2019,401,2,0,10,Cash
249,5/4/2025,1025,2064,401,2,705.7,10,Debit
250,5/4/2025,1196,2079,402,3,2851.62,15,Online
251,5/4/2025,1039,2020,402,1,338.25,5,Debit
252,5/4/2025,1184,2056,401,3,1574.16,15,Credit
253,5/4/2025,1093,2086,402,3,3576.4,15,Online
254,5/4/2025,1156,2036,404,1,392.36,5,Debit
255,5/4/2025,1136,2030,403,3,509.91,15,Debit
256,5/4/2025,1049,2047,404,3,1674.9,15,Credit
257,5/4/2025,1196,2036,404,3,0,15,Cash
258,5/4/2025,1041,2025,402,2,671.09,10,Debit
259,5/4/2025,1013,2082,404,2,1066.4,10,Credit
260,5/4/2025,1141,2013,401,2,748.29,10,Debit
261,5/4/2025,1021,2097,402,2,673.68,10,Debit
262,5/4/2025,1115,2065,402,3,1881.36,15,Credit
263,5/4/2025,1023,2028,404,2,510.35,10,Debit
264,5/4/2025,1006,2053,401,3,610.15,15,Debit
265,5/4/2025,1128,2047,402,3,1004.94,15,Credit
266,5/4/2025,1020,2047,402,0,669.96,0,Debit
267,5/4/2025,1081,2012,403,1,1682.61,5,Credit
268,5/4/2025,1035,2004,403,3,927.25,15,Debit
269,5/4/2025,1178,2017,404,3,1854.8,15,Credit
270,5/4/2025,1157,2000,401,0,1938.62,0,Credit
271,5/4/2025,1065,2027,402,3,775.83,15,Debit
272,5/4/2025,1028,2099,403,1,3490.13,5,Online
273,5/4/2025,1077,2015,401,1,1822.42,5,Credit
274,5/4/2025,1107,2081,404,0,2238.66,0,Online
275,5/4/2025,1028,2063,401,1,994.43,5,Debit
276,5/4/2025,1183,2018,403,3,2711.3,15,Online
277,5/4/2025,1000,2078,403,1,0,5,Cash
278,5/4/2025,1146,2053,402,0,1220.3,0,Credit
279,5/4/2025,1134,2046,401,0,33.43,0,Cash
280,5/4/2025,1099,2060,401,3,1633.52,15,Credit
281,5/4/2025,1095,2032,401,2,1512.96,10,Credit
282,5/4/2025,1017,2044,402,0,207.58,0,Cash
283,5/4/2025,1197,2074,403,1,593.55,5,Debit
284,5/4/2025,1011,2045,403,1,842.78,5,Debit
285,5/4/2025,1199,2087,404,3,159.32,15,Cash
286,5/4/2025,1161,2023,402,0,939.54,0,Debit
287,5/4/2025,1183,2099,404,0,1292.64,0,Credit
288,5/4/2025,1075,2025,401,1,0,5,Cash
289,5/4/2025,1010,2040,403,3,138.16,15,Cash
290,5/4/2025,1139,2060,403,0,1225.14,0,Credit
291,5/4/2025,1192,2082,402,2,213.28,10,Cash
292,5/4/2025,1091,2099,401,2,1034.11,10,Credit
293,5/4/2025,1069,2015,403,3,2699.88,15,Online
294,5/4/2025,1102,2095,404,3,1472.37,15,Credit
295,5/4/2025,1086,2023,404,3,3758.16,15,Online
296,5/4/2025,1094,2066,403,0,1032.12,0,Credit
297,5/4/2025,1186,2054,401,3,0,15,Cash
298,5/4/2025,1154,2023,403,2,751.63,10,Debit
299,5/4/2025,1026,2010,403,2,62.27,10,Cash
300,5/4/2025,1078,2057,404,1,393.28,5,Debit
301,5/4/2025,1176,2056,403,3,524.72,15,Debit
302,5/4/2025,1010,2093,403,3,0,15,Cash
303,5/4/2025,1070,2081,401,0,1492.44,0,Credit
304,5/4/2025,1171,2081,404,2,596.98,10,Debit
305,5/4/2025,1131,2095,402,0,1472.37,0,Credit
306,5/4/2025,1036,2077,404,0,1123.66,0,Credit
307,5/4/2025,1032,2008,402,2,106.54,10,Cash
308,5/4/2025,1092,2049,401,1,0,5,Cash
309,5/4/2025,1173,2057,403,2,349.58,10,Debit
310,5/4/2025,1113,2097,401,1,757.89,5,Debit
311,5/4/2025,1135,2046,404,2,80.23,10,Cash
312,5/4/2025,1166,2035,402,0,899.99,0,Debit
313,5/4/2025,1006,2094,402,3,1480.05,15,Credit
314,5/4/2025,1132,2049,401,2,1503.74,10,Credit
315,5/4/2025,1198,2033,404,1,2257.88,5,Online
316,5/4/2025,1156,2036,404,1,784.73,5,Debit
317,5/4/2025,1031,2017,401,3,0,15,Cash
318,5/4/2025,1044,2091,404,0,1811.58,0,Credit
319,5/4/2025,1174,2040,403,0,34.54,0,Cash
320,5/4/2025,1140,2069,403,2,557.74,10,Debit
321,5/4/2025,1040,2091,402,2,724.63,10,Debit
322,5/4/2025,1130,2028,401,1,574.15,5,Debit
323,5/4/2025,1035,2030,404,0,339.94,0,Debit
324,5/4/2025,1092,2070,403,3,102.54,15,Cash
325,5/4/2025,1141,2016,401,0,0,0,Cash
326,5/4/2025,1079,2050,404,3,186.78,15,Cash
327,5/4/2025,1196,2052,401,1,2632.54,5,Online
328,5/4/2025,1081,2082,401,3,1066.4,15,Credit
329,5/4/2025,1119,2087,403,1,0,5,Cash
330,5/4/2025,1199,2070,402,1,30.76,5,Cash
331,5/4/2025,1110,2064,401,0,0,0,Cash
332,5/4/2025,1132,2019,403,1,1681.07,5,Credit
333,5/4/2025,1041,2041,402,2,643.37,10,Debit
334,5/4/2025,1132,2036,401,2,348.77,10,Debit
335,5/4/2025,1050,2081,403,1,2686.39,5,Online
336,5/4/2025,1160,2038,401,1,0,5,Cash
337,5/4/2025,1151,2074,402,1,1187.1,5,Credit
338,5/4/2025,1168,2079,403,0,1901.08,0,Credit
339,5/4/2025,1007,2010,401,2,62.27,10,Cash
340,5/4/2025,1166,2026,404,0,0,0,Cash
341,5/4/2025,1127,2080,403,2,1997.42,10,Credit
342,5/4/2025,1123,2031,404,2,1356.72,10,Credit
343,5/4/2025,1116,2009,401,1,119.36,5,Cash
344,5/4/2025,1112,2053,404,3,0,15,Cash
345,5/4/2025,1052,2043,402,2,698.76,10,Debit
346,5/4/2025,1183,2040,403,3,103.62,15,Cash
347,5/4/2025,1033,2097,403,0,4210.5,0,Online
348,5/4/2025,1081,2030,404,0,339.94,0,Debit
349,5/4/2025,1068,2057,402,1,1179.85,5,Credit
350,5/4/2025,1024,2006,403,3,594,15,Debit
351,5/4/2025,1157,2053,402,1,1098.27,5,Credit
352,5/4/2025,1083,2073,403,1,2247.44,5,Online
353,5/4/2025,1195,2020,404,3,1879.15,15,Credit
354,5/4/2025,1127,2039,404,0,1952.88,0,Credit
355,5/4/2025,1023,2050,404,1,0,5,Cash
356,5/4/2025,1055,2074,403,0,1978.5,0,Credit
357,5/4/2025,1012,2036,404,3,653.94,15,Debit
358,5/4/2025,1073,2068,401,0,2460.72,0,Online
359,5/4/2025,1110,2017,403,2,370.96,10,Debit
360,5/4/2025,1195,2051,403,0,117.32,0,Cash
361,5/4/2025,1102,2006,402,2,792,10,Debit
362,5/4/2025,1141,2036,401,3,871.92,15,Debit
363,5/4/2025,1129,2057,403,0,1747.92,0,Credit
364,5/4/2025,1032,2012,404,2,997.1,10,Debit
365,5/4/2025,1086,2071,403,1,553.64,5,Debit
366,5/4/2025,1050,2077,404,0,561.83,0,Debit
367,5/4/2025,1011,2004,402,2,0,10,Cash
368,5/4/2025,1121,2066,404,1,0,5,Cash
369,5/4/2025,1155,2065,402,2,1128.82,10,Credit
370,5/4/2025,1156,2040,402,3,138.16,15,Cash
371,5/4/2025,1157,2094,403,2,1578.72,10,Credit
372,5/4/2025,1129,2065,404,2,752.54,10,Debit
373,5/4/2025,1121,2002,403,2,2771.2,10,Online
374,5/4/2025,1172,2014,404,2,197.04,10,Cash
375,5/4/2025,1185,2088,401,3,2128.05,15,Online
376,5/4/2025,1067,2083,402,0,0,0,Cash
377,5/4/2025,1149,2061,402,3,1199.52,15,Credit
378,5/4/2025,1037,2087,402,0,318.64,0,Debit
379,5/4/2025,1146,2089,401,1,744.34,5,Debit
380,5/4/2025,1004,2056,403,3,2098.88,15,Online
381,5/4/2025,1038,2052,402,3,2193.78,15,Online
382,5/4/2025,1128,2099,404,0,3877.92,0,Online
383,5/4/2025,1180,2017,402,2,741.92,10,Debit
384,5/4/2025,1169,2061,404,2,319.87,10,Debit
385,5/4/2025,1044,2058,403,2,1066.8,10,Credit
386,5/4/2025,1173,2098,403,3,3631.44,15,Online
387,5/4/2025,1049,2031,403,2,1356.72,10,Credit
388,5/4/2025,1057,2038,403,1,2501.58,5,Online
389,5/4/2025,1176,2090,404,2,343.87,10,Debit
390,5/4/2025,1122,2044,403,2,166.06,10,Cash
391,5/4/2025,1031,2073,404,3,1498.29,15,Credit
392,5/4/2025,1088,2098,402,2,726.29,10,Debit
393,5/4/2025,1010,2036,401,2,348.77,10,Debit
394,5/4/2025,1113,2083,403,3,3072.64,15,Online
395,5/4/2025,1054,2025,403,2,671.09,10,Debit
396,5/4/2025,1035,2013,402,1,1683.65,5,Credit
397,5/4/2025,1012,2085,402,1,217.94,5,Cash
398,5/4/2025,1013,2012,404,2,1994.21,10,Credit
399,5/4/2025,1183,2060,401,1,367.54,5,Debit
400,5/4/2025,1001,2070,402,3,102.54,15,Cash
401,5/4/2025,1167,2060,404,1,735.08,5,Debit
402,5/4/2025,1193,2036,403,2,348.77,10,Debit
403,5/4/2025,1165,2007,401,1,0,5,Cash
404,5/4/2025,1136,2094,401,1,1776.06,5,Credit
